time,open,high,low,close,Volume
1774894500,66752.4,66796.1,66517.85,66639.17,116.16874071
1774895400,66639.2,66768.0,66514.15,66676.44,90.10715648
1774896300,66676.44,66730.5,66450.0,66590.16,76.26562197
1774897200,66587.05,66605.0,66233.0,66359.29,176.1247423
1774898100,66359.29,66398.0,66168.98,66247.7,243.83199046
1774899000,66247.7,66341.51,66181.47,66277.1,114.73753531
1774899900,66277.1,66504.99,66225.13,66488.0,228.59477704
1774900800,66482.82,66630.72,66449.26,66534.01,86.87357857
1774901700,66534.02,66612.96,66489.96,66594.45,44.52017152
1774902600,66594.45,66618.72,66493.45,66599.81,33.46790289
1774903500,66599.82,66614.27,66550.0,66593.83,38.73452015
1774904400,66593.82,66747.12,66534.0,66729.97,54.37514317
1774905300,66727.45,66944.02,66715.76,66799.2,86.39135693
1774906200,66799.2,66943.63,66761.76,66871.47,49.74238294
1774907100,66872.98,66890.08,66730.56,66747.22,42.02960451
1774908000,66746.54,66937.88,66637.83,66712.67,91.80774668
1774908900,66712.66,66839.76,66658.83,66761.77,64.67391044
1774909800,66761.77,66805.15,66686.89,66771.13,20.36239861
1774910700,66771.12,66790.0,66625.01,66724.55,39.985426
1774911600,66724.49,66733.63,66344.96,66486.88,126.02014647
1774912500,66486.88,66662.6,66462.25,66644.5,48.47886371
1774913400,66644.52,66720.0,66600.76,66700.67,41.05585908
1774914300,66700.69,66737.37,66652.57,66737.18,24.81820711
1774915200,66737.08,66767.98,66487.5,66594.01,67.49289951
1774916100,66594.02,66766.97,66476.57,66757.98,72.60083703
1774917000,66758.02,66902.16,66703.43,66885.19,123.05358867
1774917900,66885.18,67238.17,66880.01,67151.76,175.24288222
1774918800,67151.75,67232.88,66993.04,67173.61,60.50630654
1774919700,67175.01,67828.51,67175.0,67724.6,190.77563761
1774920600,67725.84,68346.72,67675.93,67872.8,330.62644433
1774921500,67875.16,67996.49,67760.0,67881.14,84.90845137
1774922400,67878.73,67918.78,67712.76,67849.92,64.41842331
1774923300,67856.88,68046.08,67853.99,67985.99,46.66039463
1774924200,67986.0,68009.0,67780.38,67928.65,48.46315974
1774925100,67928.64,68032.48,67847.52,67888.83,45.30201195
1774926000,67888.74,67949.64,67734.5,67859.41,39.06470973
1774926900,67859.41,67916.16,67744.64,67787.09,41.23026058
1774927800,67787.08,67867.87,67581.98,67666.56,51.45951547
1774928700,67666.56,67704.0,67588.56,67647.83,40.73496781
1774929600,67647.84,67732.07,67520.23,67613.73,70.90303823
1774930500,67616.64,67808.58,67439.19,67533.61,76.45747586
1774931400,67533.57,67600.49,67457.54,67534.76,46.49049039
1774932300,67535.7,67628.97,67448.17,67482.49,73.30104248
1774933200,67482.49,67556.98,67293.55,67360.0,143.90394358
1774934100,67360.81,67599.14,67332.74,67563.2,115.92918868
1774935000,67563.19,67660.0,67461.71,67607.28,159.74252775
1774935900,67607.28,67717.49,67594.0,67620.04,49.5587861
1774936800,67620.17,67643.62,67400.0,67418.92,86.71553388
1774937700,67418.92,67448.96,67245.37,67341.93,95.74249503
1774938600,67341.92,67416.72,67280.63,67351.45,130.87984711
1774939500,67351.45,67472.99,67351.45,67434.14,30.98538614
1774940400,67434.13,67463.76,67175.47,67239.13,48.71283774
1774941300,67239.13,67254.09,67041.21,67232.8,93.39755072
