time,open,high,low,close,EMA,EMA-based MA,Volume
1776585600,75291.11,75662.75,74961.83,75637.52,75637.52,0.0,475.58389709
1776600000,75637.52,76278.36,75450.47,75885.62,75661.14857142858,0.0,1130.72205673
1776614400,75885.61,75910.61,74626.17,74985.04,75596.75727891157,0.0,1172.0454975799998
1776628800,74985.04,74989.22,73777.86,73823.14,75427.84134758665,0.0,1602.43782205
1776643200,73823.27,74781.95,73741.53,74667.9,75355.46598114983,0.0,969.4461354900001
1776657600,74667.9,75600.0,74128.51,74857.39,75308.03017342128,0.0,856.935888
1776672000,74860.01,75439.86,74646.93,75223.96,75300.0234902383,0.0,865.72289959
1776686400,75220.26,75816.18,74730.01,75747.08,75342.6003006918,0.0,2507.55777978
1776700800,75747.07,76528.01,75322.0,76337.42,75437.34503395925,0.0,2758.93158732
1776715200,76337.48,76600.0,75653.71,75864.86,75478.06074501075,0.0,1020.74083616
1776729600,75864.86,76290.0,75514.0,75740.58,75503.06257881926,0.0,614.45411772
1776744000,75740.58,76326.37,75633.28,76118.09,75561.63661893172,0.0,627.96768418
1776758400,76118.09,76926.37,76092.01,76485.82,75649.65408379537,0.0,1167.62022574
1776772800,76486.41,76632.97,75438.7,75844.02,75668.16512343391,75502.07416686443,2186.07782556
1776787200,75846.68,76205.59,74817.27,75030.96,75607.47892120211,75517.09696276396,1984.89297538
1776801600,75031.09,76453.02,74989.53,76348.58,75678.05997632572,75541.81667152568,975.9051081299999
1776816000,76355.73,77747.98,76145.0,77541.55,75855.53521667565,75590.03868466837,1641.40661841
1776830400,77541.55,78444.0,77369.03,78025.8,76062.22710080179,75663.3550639063,1654.02429863
1776844800,78025.8,78422.84,77960.0,78327.98,76278.0130912016,75759.40113945263,1050.26766599
1776859200,78327.98,79455.95,78137.19,79323.61,76568.06993965858,75885.33529850704,3764.50973118
1776873600,79323.62,79523.0,78660.62,78878.3,76788.09185016729,76028.60533356985,2500.10563168
1776888000,78878.31,78953.15,78182.0,78208.52,76923.37072157992,76175.74047186933,1147.60555507
1776902400,78208.52,78608.94,77500.0,77766.9,77003.7068433342,76318.53213667996,1231.72643456
1776916800,77766.9,78370.49,77698.7,78086.14,77106.79571539762,76460.15125291451,804.38906382
1776931200,78086.15,78204.31,77200.0,77722.29,77165.41421869307,76594.07440796573,931.78571492
1776945600,77722.29,78722.96,77404.02,78410.43,77283.98715024612,76727.97536684429,2781.39877977
1776960000,78410.44,78550.0,76979.99,77743.16,77327.71789784172,76851.30375367543,2808.4451648599997
1776974400,77742.5,78369.99,77656.44,78281.32,77418.53714566633,76970.7598134161,809.00987664
1776988800,78281.32,78607.38,77590.51,77755.39,77450.61836988859,77077.82315998417,919.3495245500001
1777003200,77755.39,78071.27,77465.3,77676.96,77472.17471561348,77170.20697694713,626.84638109
1777017600,77676.95,78400.0,77423.86,78256.13,77546.83712365029,77255.45897460749,1073.26271845
1777032000,78256.15,78500.0,77596.52,78066.88,77596.36501663599,77331.20705412334,3056.5253656100003
1777046400,78065.03,78090.24,77381.74,77659.72,77602.39882457543,77393.14880407078,1327.4213027
1777060800,77657.01,77787.4,77289.0,77461.8,77589.00846033015,77440.69197465814,763.36682789
1777075200,77461.79,77739.8,77329.29,77699.91,77599.57051172729,77479.92019475873,335.2609802
1777089600,77699.92,77726.16,77470.0,77521.97,77592.17998680088,77510.43464333046,376.42751209
1777104000,77520.0,77911.09,77510.94,77709.94,77603.39522615318,77536.07484509944,431.26261648
1777118400,77711.31,77774.27,77332.98,77354.06,77579.64901413859,77552.83756733488,491.15913383
1777132800,77354.05,77500.0,77179.2,77339.77,77556.80339374444,77562.05084210118,812.12149959
1777147200,77339.77,77680.3,77324.57,77650.72,77565.74783243545,77568.72919274007,425.44284882
1777161600,77650.72,77666.29,77346.44,77408.01,77550.7251817273,77570.72108821607,299.72096625
1777176000,77408.01,78221.43,77394.88,78126.31,77605.54278346756,77577.8981183633,616.54445856
1777190400,78126.32,78237.34,77940.69,78118.01,77654.34918504207,77589.80166264616,361.30161004
1777204800,78118.01,78189.65,77782.36,78073.83,77694.29973884759,77605.09165395876,497.5263582
1777219200,78073.83,78527.65,77867.2,78258.01,77747.98643038592,77625.42439439807,1012.01254822
1777233600,78258.0,78943.0,77873.76,78673.83,77836.16200844441,77655.5981708953,1154.95115617
1777248000,78673.84,79496.0,78417.72,79120.02,77958.43419811637,77699.7911251411,1719.3652245800001
1777262400,79120.02,79175.92,77481.0,77613.58,77925.5909411529,77736.2141653771,1454.39730781
1777276800,77613.58,77992.86,77563.02,77847.89,77918.19085151929,77768.44497955887,617.2139307499999
1777291200,77847.88,78278.39,76555.0,76775.89,77809.40029423173,77783.13590667571,2657.75796367
1777305600,76775.9,76925.8,76447.51,76886.0,77721.4574090668,77784.0323509379,1985.08237559
1777320000,76886.0,77444.41,76735.0,77364.42,77687.45384629854,77779.27058508893,854.94566988
1777334400,77364.48,77478.99,76664.99,76809.35,77603.82490855582,77762.33158152037,813.54832773
1777348800,76809.35,77155.99,76425.0,76872.94,77534.21682202669,77735.66367579735,833.00781364
1777363200,76872.94,77003.39,76106.88,76224.71,77409.50188659558,77692.66740735405,916.30019104
1777377600,76224.72,76423.44,75646.84,76052.69,77280.2817069198,77633.78676538382,1839.44395045
1777392000,76052.69,76379.97,75861.97,76308.13,77187.69583007031,77565.65906437222,1294.24069662
1777406400,76308.97,76483.8,76174.8,76317.99,77104.86670339695,77490.93179747055,929.29026705
1777420800,76317.99,77117.03,76163.99,76987.27,77093.66701735916,77420.32488705385,1028.35016772
