time,open,high,low,close,EMA,EMA-based MA,Volume
1775556000,69150.36,69208.14,68172.7,68225.93,68962.02286008115,0.0,386.13905474
1775559600,68224.0,68450.72,68061.76,68328.81,68911.36583127467,0.0,223.21593474
1775563200,68332.52,68581.94,68062.9,68383.99,68869.1757647727,0.0,302.66390693
1775566800,68383.99,68633.63,68176.76,68221.38,68817.35210359089,0.0,467.94939982
1775570400,68221.36,68248.09,67750.0,67843.12,68739.41353530363,0.0,600.58066204
1775574000,67843.12,68272.75,67710.01,68152.71,68692.47725247934,0.0,545.14672329
1775577600,68152.71,69039.74,68060.31,68223.75,68654.97907228098,0.0,598.60084539
1775581200,68223.74,69000.0,68177.75,68694.66,68658.1535464985,0.0,412.26293724
1775584800,68694.66,68773.69,68336.0,68430.56,68639.94606277863,0.0,224.89601267
1775588400,68430.55,69083.82,68324.38,68993.62,68668.23997775634,0.0,488.54226473
1775592000,68998.45,69532.0,68998.45,69313.92,68719.89437953584,0.0,587.34190475
1775595600,69313.92,70200.0,69305.01,69923.37,68816.17242917298,0.0,832.24235066
1775599200,69923.36,71512.84,69923.36,71506.0,69031.35863483914,0.0,1374.0363039
1775602800,71505.99,72753.97,71174.31,71910.2,69261.66594405202,0.0,1736.8054044
1775606400,71910.21,72113.93,71536.12,71699.91,69456.72546852786,0.0,583.85383141
1775610000,71699.9,71753.06,71439.56,71465.98,69617.46583104563,0.0,264.47715947
1775613600,71468.34,71722.84,71233.98,71355.75,69756.52856456199,0.0,345.48630583
1775617200,71355.76,71484.9,71272.26,71286.0,69878.88627939703,0.0,194.37257335
1775620800,71285.99,71683.55,71272.38,71556.55,70013.09937704528,0.0,210.64588723
1775624400,71559.93,71830.04,71552.82,71730.91,70150.52422688165,0.0,169.73342475
1775628000,71730.91,71942.29,71576.21,71728.99,70276.80148873113,0.0,175.1204488
1775631600,71729.0,71914.12,71580.93,71641.01,70385.93816963265,69274.54548672677,184.35174213
1775635200,71641.02,71832.7,71636.0,71800.02,70499.06471606204,69325.03825123962,314.65959276
1775638800,71800.02,71962.24,71582.4,71674.21,70593.07633877709,69378.01532666986,180.26846729
1775642400,71674.21,71790.88,71441.77,71470.12,70663.23983167492,69432.47616673236,172.46901124
1775646000,71470.11,71743.85,71404.95,71690.4,70745.41264514092,69488.85167464867,181.21986008
1775649600,71693.1,72199.11,71578.53,72077.79,70852.00283352965,69548.08132828462,625.53478011
1775653200,72077.8,72861.38,71500.01,71602.39,70912.03380684728,69608.30078719833,1311.16343484
